day,city,date,start,end,week,week_order,id,data_id
0,1,Andijon,2024-3-11,05:11,18:14,Dushanba,1,0,0
1,2,Andijon,2024-3-12,05:09,18:15,Seshanba,1,1,0
2,3,Andijon,2024-3-13,05:08,18:16,Chorshanba,1,2,0
3,4,Andijon,2024-3-14,05:06,18:18,Payshanba,1,3,0
4,5,Andijon,2024-3-15,05:04,18:19,Juma,1,4,0
5,6,Andijon,2024-3-16,05:02,18:20,Shanba,1,5,0
6,7,Andijon,2024-3-17,05:01,18:21,Yakshanba,1,6,0
7,8,Andijon,2024-3-18,04:59,18:22,Dushanba,2,7,0
8,9,Andijon,2024-3-19,04:57,18:23,Seshanba,2,8,0
9,10,Andijon,2024-3-20,04:55,18:24,Chorshanba,2,9,0
10,11,Andijon,2024-3-21,04:53,18:25,Payshanba,2,10,0
11,12,Andijon,2024-3-22,04:52,18:26,Juma,2,11,0
12,13,Andijon,2024-3-23,04:50,18:27,Shanba,2,12,0
13,14,Andijon,2024-3-24,04:48,18:29,Yakshanba,2,13,0
14,15,Andijon,2024-3-25,04:46,18:30,Dushanba,3,14,0
15,16,Andijon,2024-3-26,04:45,18:31,Seshanba,3,15,0
16,17,Andijon,2024-3-27,04:43,18:32,Chorshanba,3,16,0
17,18,Andijon,2024-3-28,04:41,18:33,Payshanba,3,17,0
18,19,Andijon,2024-3-29,04:39,18:34,Juma,3,18,0
19,20,Andijon,2024-3-30,04:37,18:35,Shanba,3,19,0
20,21,Andijon,2024-3-31,04:36,18:36,Yakshanba,3,20,0
21,22,Andijon,2024-4-1,04:34,18:37,Dushanba,4,21,0
22,23,Andijon,2024-4-2,04:32,18:38,Seshanba,4,22,0
23,24,Andijon,2024-4-3,04:30,18:39,Chorshanba,4,23,0
24,25,Andijon,2024-4-4,04:28,18:40,Payshanba,4,24,0
25,26,Andijon,2024-4-5,04:26,18:41,Juma,4,25,0
26,27,Andijon,2024-4-6,04:24,18:43,Shanba,4,26,0
27,28,Andijon,2024-4-7,04:22,18:44,Yakshanba,4,27,0
28,29,Andijon,2024-4-8,04:20,18:45,Dushanba,5,28,0
29,30,Andijon,2024-4-9,04:19,18:46,Seshanba,5,29,0
30,1,Bekobod,2024-3-11,05:25,18:27,Dushanba,1,30,0
31,2,Bekobod,2024-3-12,05:23,18:28,Seshanba,1,31,0
32,3,Bekobod,2024-3-13,05:22,18:29,Chorshanba,1,32,0
33,4,Bekobod,2024-3-14,05:20,18:31,Payshanba,1,33,0
34,5,Bekobod,2024-3-15,05:18,18:32,Juma,1,34,0
35,6,Bekobod,2024-3-16,05:16,18:33,Shanba,1,35,0
36,7,Bekobod,2024-3-17,05:15,18:34,Yakshanba,1,36,0
37,8,Bekobod,2024-3-18,05:13,18:35,Dushanba,2,37,0
38,9,Bekobod,2024-3-19,05:11,18:36,Seshanba,2,38,0
39,10,Bekobod,2024-3-20,05:09,18:37,Chorshanba,2,39,0
40,11,Bekobod,2024-3-21,05:07,18:38,Payshanba,2,40,0
41,12,Bekobod,2024-3-22,05:06,18:39,Juma,2,41,0
42,13,Bekobod,2024-3-23,05:04,18:40,Shanba,2,42,0
43,14,Bekobod,2024-3-24,05:02,18:42,Yakshanba,2,43,0
44,15,Bekobod,2024-3-25,05:00,18:43,Dushanba,3,44,0
45,16,Bekobod,2024-3-26,04:59,18:44,Seshanba,3,45,0
46,17,Bekobod,2024-3-27,04:57,18:45,Chorshanba,3,46,0
47,18,Bekobod,2024-3-28,04:55,18:46,Payshanba,3,47,0
48,19,Bekobod,2024-3-29,04:53,18:47,Juma,3,48,0
49,20,Bekobod,2024-3-30,04:51,18:48,Shanba,3,49,0
50,21,Bekobod,2024-3-31,04:50,18:49,Yakshanba,3,50,0
51,22,Bekobod,2024-4-1,04:48,18:50,Dushanba,4,51,0
52,23,Bekobod,2024-4-2,04:46,18:51,Seshanba,4,52,0
